"ID_Band","TimePoint","Treatment","AgeCategory","Sex","Mom_ID","Cohort","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes.x","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell","PlateNumber","TubeID","Extractor","CORT.ng.mL.","Notes.y"
4535,"Treatment","E","Older","F",4284,1,"No","220","210","No","0.7","No","No","U","60","2:20","031324A","",113,"nodule on wing",NA,NA,NA,NA,NA,NA,NA,1,19,"BH",0.734045134,""
4543,"Baseline","A","Older","M",4168,2,"No","230","271","No","0.4","0.3","No","U","51","1:24","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,3,70,"MRM",0.708780736,""
4543,"Treatment","A","Older","M",4168,2,"No","316","306","No","0.4","No","No","L","52","2:55","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,3,72,"MRM",1.843521305,"Lysed"
4548,"Baseline","E","Older","F",4432,4,"No","No","No","No","No","No","No","No","No","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4548,"Heat","E","Older","F",4432,4,"No","289","260","No","0.8","No","No","U","0.8","1:45","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,7,183,"MRM",40.81104841,""
4548,"Treatment","E","Older","F",4432,4,"No","191","180","No","0.4","No","No","U","62","1:42","","",113,"",NA,NA,NA,NA,NA,NA,NA,7,192,"MRM",0.658007705,""
4551,"Baseline","D","Older","F",4150,2,"No","185","177","No","0.5","0.7","No","L","54","3:00","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,7,179,"MRM",0.658007705,"Lysed"
4551,"Treatment","D","Older","F",4150,2,"No","231","228","No","0.3","No","No","U","52","1:12","032204A","",113,"",NA,NA,NA,NA,NA,NA,NA,7,170,"MRM",0.658007705,""
4552,"Baseline","A","Older","F",4150,2,"No","228","247","No","0.3","0.3","No","U","54","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,6,148,"MRM",1.681278122,"Lysed"
4552,"Treatment","A","Older","F",4150,2,"No","245","245","No","0.5","No","No","U","52","2:22","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,6,156,"MRM",2.390110842,""
4554,"Baseline","C","Older","F",4181,2,"No","291","337","No","0.4","No","No","L","No","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4554,"Treatment","C","Older","F",4181,2,"No","286","283","No","0.6","No","No","L","56","1:54","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,7,174,"MRM",0.658007705,""
4556,"Baseline","A","Older","M",4287,1,"No","213","211","No","0.2","0.2","No","No","50","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA,9,226,"BH",1.602584603,"Was transferred out of bad tube"
4556,"Treatment","A","Older","M",4287,1,"No","197","194","No","0.4","No","No","U","56","1:09","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA,9,235,"BH",5.626293111,""
4559,"Baseline","C","Older","M",4127,4,"No","250","257","No","0.6","No","No","U","55","1:42","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4559,"Treatment","C","Older","M",4127,4,"No","179","181","No","0.6","No","No","U","52","1:30","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,7,196,"MRM",0.658007705,"Did not get a full 250uL of EA on first extraction "
4561,"Baseline","C","Older","F",4168,2,"No","225","231","No","0.4","0.3","No","U","56","3:00","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,2,51,"MRM",1.828263896,""
4561,"Treatment","C","Older","F",4168,2,"No","258","238","No","0.5","No","No","U","60","2:20","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,2,29,"MRM",0.423809289,""
