"ID_Band","TimePoint","AgeCategory","Sex","Mom_ID","Cohort","Treatment","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes.x","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell","PlateNumber","TubeID","Extractor","CORT.ng.mL.","Notes.y"
4534,"Treatment","Older","F",4150,2,"B","No","253","242","No","0.6","No","No","U","58","1:32","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,1,18,"BH",5.966894628,""
4535,"Baseline","Older","F",4284,1,"E","No","168","166","No","0.3","0.3","No","No","54","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA,1,16,"BH",0.294881274,"Transferred from bad tube, lysed"
4535,"Heat","Older","F",4284,1,"E","No","217","No","No","No","No","No","U","60","3:00","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA,1,11,"BH",2.994714924,""
4535,"Treatment","Older","F",4284,1,"E","No","220","210","No","0.7","No","No","U","60","2:20","031324A","",113,"nodule on wing",NA,NA,NA,NA,NA,NA,NA,1,19,"BH",0.734045134,""
4543,"Baseline","Older","M",4168,2,"A","No","230","271","No","0.4","0.3","No","U","51","1:24","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,3,70,"MRM",0.708780736,""
4543,"Treatment","Older","M",4168,2,"A","No","316","306","No","0.4","No","No","L","52","2:55","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,3,72,"MRM",1.843521305,"Lysed"
4548,"Baseline","Older","F",4432,4,"E","No","No","No","No","No","No","No","No","No","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4548,"Heat","Older","F",4432,4,"E","No","289","260","No","0.8","No","No","U","0.8","1:45","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,7,183,"MRM",40.81104841,""
4548,"Treatment","Older","F",4432,4,"E","No","191","180","No","0.4","No","No","U","62","1:42","","",113,"",NA,NA,NA,NA,NA,NA,NA,7,192,"MRM",0.658007705,""
4551,"Baseline","Older","F",4150,2,"D","No","185","177","No","0.5","0.7","No","L","54","3:00","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,7,179,"MRM",0.658007705,"Lysed"
4551,"Treatment","Older","F",4150,2,"D","No","231","228","No","0.3","No","No","U","52","1:12","032204A","",113,"",NA,NA,NA,NA,NA,NA,NA,7,170,"MRM",0.658007705,""
4552,"Baseline","Older","F",4150,2,"A","No","228","247","No","0.3","0.3","No","U","54","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,6,148,"MRM",1.681278122,"Lysed"
4552,"Treatment","Older","F",4150,2,"A","No","245","245","No","0.5","No","No","U","52","2:22","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,6,156,"MRM",2.390110842,""
4554,"Baseline","Older","F",4181,2,"C","No","291","337","No","0.4","No","No","L","No","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4554,"Treatment","Older","F",4181,2,"C","No","286","283","No","0.6","No","No","L","56","1:54","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,7,174,"MRM",0.658007705,""
4556,"Baseline","Older","M",4287,1,"A","No","213","211","No","0.2","0.2","No","No","50","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA,9,226,"BH",1.602584603,"Was transferred out of bad tube"
4556,"Treatment","Older","M",4287,1,"A","No","197","194","No","0.4","No","No","U","56","1:09","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA,9,235,"BH",5.626293111,""
4559,"Baseline","Older","M",4127,4,"C","No","250","257","No","0.6","No","No","U","55","1:42","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,7,189,"MRM",0.658007705,""
4559,"Treatment","Older","M",4127,4,"C","No","179","181","No","0.6","No","No","U","52","1:30","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,7,196,"MRM",0.658007705,"Did not get a full 250uL of EA on first extraction "
4561,"Baseline","Older","F",4168,2,"C","No","225","231","No","0.4","0.3","No","U","56","3:00","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,2,51,"MRM",1.828263896,""
4561,"Treatment","Older","F",4168,2,"C","No","258","238","No","0.5","No","No","U","60","2:20","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,2,29,"MRM",0.423809289,""
4562,"Baseline","Older","F",4290,4,"D","No","283","248","No","0.4","No","No","U","52","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4562,"Treatment","Older","F",4290,4,"D","No","213","201","No","0.2","0.2","No","U","50","1:28","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4572,"Baseline","Older","F",4112,1,"A","No","162","171","No","0.4","0.3","No","U","56","","031324A","",118,"",NA,NA,NA,NA,NA,NA,NA,9,229,"BH",1.602584603,"Was transferred out of bad tube, lysed"
4572,"Treatment","Older","F",4112,1,"A","No","192","239","No","0.4","No","No","U","56","1:09","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA,9,237,"BH",3.389848032,""
4573,"Baseline","Older","F",4157,1,"D","No","209","190","No","0.4","0.5","No","U","54","","031324A","",118,"",NA,NA,NA,NA,NA,NA,NA,2,32,"MRM",0.423809289,"Transferred from bad tube, lysed"
4573,"Treatment","Older","F",4157,1,"D","No","239","207","195","0.6","No","No","U/L","54","3:00","","",113,"",NA,NA,NA,NA,NA,NA,NA,2,41,"MRM",1.988843579,"Lysed"
4578,"Baseline","Older","F",4171,2,"D","No","265","271","No","0.4","No","No","U","56","2:55","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,9,230,"BH",1.602584603,"Lysed"
4578,"Treatment","Older","F",4171,2,"D","No","180","171","No","0.3","No","No","U","58","2:06","032204A","",113,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4579,"Baseline","Older","F",4171,2,"E","No","216","200","No","0.4","0.5","No","U","58","1:30","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,4,103,"BH",0.631540734,""
4579,"Heat","Older","F",4171,2,"E","No","239","229","No","0.7","No","No","U","60","1:15","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,4,85,"BH",1.58606877,"NOTE FOR WHOLE PLATE: Ben extracted but Meg pipetted off supernatant during the third round"
4579,"Treatment","Older","F",4171,2,"E","No","200","212","No","0.6","No","No","U","58","2:25","","",113,"",NA,NA,NA,NA,NA,NA,NA,4,106,"BH",1.179161203,""
4582,"Baseline","Older","F",4222,3,"E","No","269","271","No","0.4","0.5","No","No","No","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4582,"Heat","Older","F",4222,3,"E","No","312","331","No","0.4","No","No","U","58","2:50","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,97,"BH",3.670771506,""
4582,"Treatment","Older","F",4222,3,"E","No","243","247","No","0.4","0.5","No","U","52","No","050124A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,110,"BH",1.424137493,""
4586,"Baseline","Older","F",4222,3,"C","No","270","262","No","0.5","0.6","No","L","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,1,7,"BH",1.411193388,"Lysed"
4586,"Treatment","Older","F",4222,3,"C","No","276","203","No","0.6","No","No","U","No","3:00/6:30","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,1,2,"BH",5.505247532,"Lysed"
4593,"Baseline","Older","M",4149,2,"B","No","180","170","No","0.3","0.4","No","U","56","3:00","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,6,154,"MRM",2.844350167,""
4593,"Treatment","Older","M",4149,2,"B","No","326","272","No","0.6","No","No","U","62","1:30","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,6,152,"MRM",10.15745773,""
4600,"Baseline","Older","M",4184,3,"B","No","170","170","No","0.6","0.7","No","No","63","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,9,225,"BH",4.361357716,"Lysed"
4600,"Treatment","Older","M",4184,3,"B","No","242","244","No","0.3","No","No","U","63","3:00","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,9,234,"BH",6.819620052,"Lysed"
4601,"Baseline","Older","F",4184,3,"C","No","242","245","No","0.5","0.6","No","L","56","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,4,96,"BH",0.79720613,"Lysed"
4601,"Treatment","Older","F",4184,3,"C","No","143","133","No","1.8","No","No","U","56","1:21","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,98,"BH",4.136421397,""
4604,"Baseline","Older","F",4184,3,"D","No","212","244","No","0.5","0.6","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,2,46,"MRM",1.468740072,"Lysed"
4604,"Treatment","Older","F",4184,3,"D","No","220","204","No","0.5","No","No","U","62","2:09","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,2,30,"MRM",0.495410936,""
4608,"Baseline","Older","F",4124,1,"C","No","141","132","No","0.1","0.2","No","No","34","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA,8,215,"BH",0.000500511,"Milky, was transferred out of bad tube"
4608,"Treatment","Older","F",4124,1,"C","No","255","244","No","0.6","No","No","U","54","3:00","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,8,221,"BH",3.697049599,"Lysed"
4612,"Baseline","Older","F",4412,1,"E","No","223","283","247","0.4","0.3","No","U","50","","031324A","",118,"",NA,NA,NA,NA,NA,NA,NA,6,144,"MRM",NA,"Error occurred during extraction could not run sample"
4612,"Heat","Older","F",4412,1,"E","No","300","290","No","1.3","No","No","U","50","1:02","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA,6,155,"MRM",12.79971871,""
4612,"Treatment","Older","F",4412,1,"E","No","253","242","No","0.6","No","No","U","51","2:27","031324A","",113,"Fatty",NA,NA,NA,NA,NA,NA,NA,6,147,"MRM",1.532691351,""
4613,"Baseline","Older","M",4412,4,"B","No","234","238","No","0.7","No","No","U","56","2:46","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,8,211,"BH",0.545393897,""
4613,"Treatment","Older","M",4412,4,"B","No","227","227","No","0.6","No","No","L","56","3:00/4:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,8,217,"BH",2.750076533,"Lysed"
4614,"Baseline","Older","M",4340,1,"B","No","188","179","No","No","No","No","No","55","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA,5,113,"BH",2.195039537,"Transferred our of bad tube"
4614,"Treatment","Older","M",4340,1,"B","No","294","292","No","0.6","No","No","U","58","3:00","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA,5,129,"BH",4.066346482,""
4619,"Baseline","Older","F",4470,3,"E","No","281","279","No","0.6","0.6","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,3,76,"MRM",1.337245638,""
4619,"Heat","Older","F",4470,3,"E","No","296","306","No","0.4","No","No","U","56","2:41","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,3,63,"MRM",3.53997886,""
4619,"Treatment","Older","F",4470,3,"E","No","324","312","No","0.6","0.6","No","U","52","No","050124A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,3,79,"MRM",1.953806121,"Lysed"
4620,"Baseline","Older","F",4470,3,"B","No","253","254","No","0.5","0.5","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,7,188,"MRM",0.983414102,""
4620,"Treatment","Older","F",4470,3,"B","No","333","327","No","0.4","No","No","U","54","2:42","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,7,194,"MRM",2.526283869,""
4621,"Baseline","Older","F",4470,3,"D","No","259","265","No","0.7","0.7","No","U","52","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,9,228,"BH",1.602584603,""
4621,"Treatment","Older","F",4470,3,"D","No","343","332","No","0.6","No","No","U/L","52","3:00/4:14","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,9,233,"BH",2.066950078,"Lysed"
4622,"Baseline","Older","F",4470,3,"A","No","No","No","No","No","No","No","No","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4622,"Treatment","Older","F",4470,3,"A","No","302","265","No","0.6","No","No","U","54","3:01/6:30","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,1,8,"BH",6.715365421,""
4625,"Baseline","Younger","F",4450,4,"E","No","241","240","No","0.3","0.3","No","U","58","1:46","031324A","75001L04",118,"",974.062733235044,63.2147540570181,0.0648980316155512,21.6997213511473,353530.225473754,13.9342085551652,362.944000844395,NA,NA,NA,NA,NA
4625,"Heat","Younger","F",4450,4,"E","No","313","315","No","1.1","No","No","U","1.1","3:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4625,"Treatment","Younger","F",4450,4,"E","No","208","203","No","0.4","No","No","U","54","2:32","","",113,"",NA,NA,NA,NA,NA,NA,NA,4,88,"BH",3.179701263,"Lysed"
4703,"Baseline","Younger","F",4112,5,"B","No","178","183","No","1.8","1.8","No","U","58","1:20","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,6,157,"MRM",1.532691351,""
4703,"Treatment","Younger","F",4112,5,"B","No","205","206","No","0.7","No","No","No","No","3:00/3:44","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,6,166,"MRM",2.273457942,""
4703,"Treatment","Younger","F",4112,5,"B","No","205","206","No","0.7","No","No","No","No","3:00/3:44","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,111,"BH",3.697855356,""
4704,"Baseline","Younger","F",4112,5,"C","No","263","243","No","0.7","No","No","U","56","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,9,240,"BH",2.570964425,""
4704,"Treatment","Younger","F",4112,5,"C","No","181","190","No","0.5","No","No","No","63","2:24","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,9,239,"BH",1.602584603,""
4705,"Baseline","Younger","M",4184,5,"A","No","267","271","No","0.7","No","No","U","54","2:24","042224A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,5,132,"BH",0.618275968,""
4705,"Treatment","Younger","M",4184,5,"A","No","270","No","No","No","No","No","L","34","5:00/4:13","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,120,"BH",1.062924178,"Lysed"
4707,"Baseline","Younger","F",4165,4,"A","No","232","230","No","0.4","No","No","U/L","52","2:58","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,5,126,"BH",2.285050454,"Lysed"
4707,"Treatment","Younger","F",4165,4,"A","No","178","133","No","0.6","No","No","U","No","3:00/4:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,124,"BH",3.091743729,"Lysed"
4708,"Baseline","Younger","M",4165,3,"A","No","231","228","No","0.3","0.3","No","U","56","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,5,131,"BH",0.463078997,""
4708,"Treatment","Younger","M",4165,3,"A","No","241","270","No","0.3","No","No","U","60","3:00/5:30","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,123,"BH",1.699836538,""
4712,"Baseline","Younger","F",4123,4,"B","No","211","212","No","0.4","0.4","No","U/L","54","1:59","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,5,121,"BH",0.463078997,""
4712,"Treatment","Younger","F",4123,4,"B","No","211","210","No","0.3","No","No","U","54","1:36","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,118,"BH",4.284394873,""
4713,"Baseline","Younger","F",4115,4,"A","No","222","No","No","0.4","No","No","U","52","1:34","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,2,56,"MRM",0.823068348,""
4713,"Treatment","Younger","F",4115,4,"A","No","273","261","No","0.6","No","No","U","52","2:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,2,55,"MRM",2.730062555,""
4715,"Baseline","Younger","F",4115,4,"C","No","348","253","294","0.5","No","No","L","50","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,8,212,"BH",0.08288906,"Lysed"
4715,"Treatment","Younger","F",4115,4,"C","No","209","200","No","0.6","No","No","U","60","1:50","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,8,219,"BH",0.563614415,"tube says this is C cohort"
4717,"Baseline","Younger","F",4157,5,"C","No","292","275","No","0.6","No","No","U/L","50","2:42","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,8,205,"BH",0.095287329,"Milky"
4717,"Treatment","Younger","F",4157,5,"C","No","256","221","No","0.5","No","No","L","59","3:00/4:57","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,8,201,"BH",2.369680989,"Lysed"
4718,"Baseline","Younger","F",4157,5,"A","No","269","269","No","0.4","No","No","Y","50","1:35","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,7,187,"MRM",0.658007705,""
4718,"Treatment","Younger","F",4157,5,"A","No","268","248","No","0.6","No","No","No","No","2:55","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4719,"Baseline","Younger","F",4222,4,"D","Yes","245","No","No","0.5","No","No","U","56.5","3:00","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,4,87,"BH",3.342984133,"Transferred from bad tub"
4719,"Treatment","Younger","F",4222,4,"D","Yes","No","No","No","No","No","No","No","No","No","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,107,"BH",4.225158697,""
4720,"Baseline","Younger","F",4374,5,"E","No","275","271","No","0.4","No","No","U","50","1:31","042224A","75001L04",118,"",165.417062166449,128.700416285524,0.778035920841229,24.191436629434,126633.246382883,15.6750893105825,765.539205716637,5,128,"BH",0.619679545,""
4720,"Heat","Younger","F",4374,5,"E","No","276","303","No","0.3","No","No","L","41","3:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,122,"BH",6.038685027,""
4720,"Treatment","Younger","F",4374,5,"E","No","237","223","No","0.3","No","No","U","50","2:42","","",113,"",NA,NA,NA,NA,NA,NA,NA,5,115,"BH",2.620947386,""
4723,"Baseline","Younger","F",4206,5,"D","No","273","256","No","0.4","0.3","No","U","54","4:00","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,4,93,"BH",0.817765943,"Lysed"
4723,"Treatment","Younger","F",4206,5,"D","No","225","212","No","0.4","No","No","U","52","No","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,89,"BH",0.773631223,""
4725,"Baseline","Younger","M",4574,6,"B","No","266","255","No","0.3","No","No","U","50","3:00/3:35","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,3,69,"MRM",0.662254735,"Lysed"
4725,"Treatment","Younger","M",4574,6,"B","No","231","230","No","0.5","No","No","U","50","2:00","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,3,62,"MRM",5.617117872,""
4729,"Baseline","Younger","F",4374,5,"D","No","296","280","No","0.5","No","No","U","52","2:23","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,6,153,"MRM",1.68327952,""
4729,"Treatment","Younger","F",4374,5,"D","No","229","213","No","0.4","No","No","U","52","No","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,6,158,"MRM",1.532691351,""
4731,"Baseline","Younger","F",4175,6,"C","No","243","235","No","0.6","No","No","U","56","3:00/3:30","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,5,127,"BH",3.103700131,""
4731,"Treatment","Younger","F",4175,6,"C","No","166","165","No","0.7","No","No","U","58","3:00/3:35","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,134,"BH",4.488511457,""
4735,"Baseline","Younger","F",4210,6,"D","No","186","191","No","0.4","No","No","U","54","1:35","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,7,191,"MRM",0.658007705,""
4735,"Treatment","Younger","F",4210,6,"D","No","177","204","215","0.4","No","No","U","54","1:28","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,7,180,"MRM",1.063963865,""
4737,"Baseline","Younger","F",4210,6,"C","Yes","280","293","No","0.4","No","No","U","54","1:52","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",204.942182988898,30.2143487003374,0.147428646751431,23.8925037749568,90483.1354860997,16.1919426697766,441.505668410887,1,28,"BH",0.091720635,""
4737,"Treatment","Younger","F",4210,6,"C","Yes","No","No","No","No","No","No","No","No","No","No","No",113,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4738,"Baseline","Younger","F",4210,6,"E","No","254","217","No","0.3","No","No","L","52","2:30","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",123.49940959496,26.621642441016,0.215560888334015,24.6023404043547,54701.8200114112,17.0404975943659,442.931834174886,1,6,"BH",0.734798907,"Lysed"
4738,"Heat","Younger","F",4210,6,"E","No","264","251","No","0.7","No","No","U","54","1:47","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,1,15,"BH",19.4055011,""
4738,"Treatment","Younger","F",4210,6,"E","No","230","230","No","0.4","No","No","U/L","58","3:00/4:18","","",113,"Double check bleed times on actual datasheet",NA,NA,NA,NA,NA,NA,NA,1,25,"BH",3.38719683,"Lysed"
4739,"Baseline","Younger","F",4023,5,"E","No","205","208","No","0.4","No","No","U","58","1:45","042224A","75001L04",114,"",92.0027300102222,48.2967878558527,0.524949508025322,25.0267168508104,149955.610003483,15.3550255018661,1629.90391683836,8,204,"BH",0.966207279,""
4739,"Heat","Younger","F",4023,5,"E","No","199","192","No","0.6","No","No","U","57","1:48","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,8,197,"BH",1.666514564,""
4739,"Treatment","Younger","F",4023,5,"E","No","189","171","No","0.5","No","No","U","56","3:00","","",113,"",NA,NA,NA,NA,NA,NA,NA,8,216,"BH",0.368439141,""
4741,"Baseline","Younger","F",4111,6,"B","No","211","211","No","0.5","No","No","L","58","2:25","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,4,86,"BH",0.631540734,"Lysed"
4741,"Treatment","Younger","F",4111,6,"B","No","194","195","No","0.7","No","No","U","60","1:18","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,100,"BH",0.881914642,""
4744,"Baseline","Younger","M",4111,6,"A","No","249","247","No","0.4","No","No","U","50","3:00/3:30","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,9,238,"BH",1.602584603,"Lysed"
4744,"Treatment","Younger","M",4111,6,"A","No","251","244","No","0.4","No","No","U","52","1:38","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,9,231,"BH",1.602584603,""
4745,"Baseline","Younger","F",4111,6,"E","No","204","187","No","0.6","No","No","U","56","1:30","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",175.265044802604,54.8224639454668,0.312797477712751,24.1104720538162,95191.9389399925,16.1070468386642,543.131341718507,7,184,"MRM",0.658007705,""
4745,"Heat","Younger","F",4111,6,"E","No","219","203","No","0.8","No","No","U/L","60","3:00/5:40","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,7,171,"MRM",3.467044805,"Lysed"
4745,"Treatment","Younger","F",4111,6,"E","No","223","222","No","0.7","No","No","U","56","1:57","","",113,"",NA,NA,NA,NA,NA,NA,NA,7,181,"MRM",0.658007705,"Lysed"
4748,"Baseline","Younger","F",4150,7,"C","No","318","No","No","No","No","No","L","54","5:00","042224A","75001L04",118,"Glucose after 3 min",NA,NA,NA,NA,NA,NA,NA,7,185,"MRM",1.23088564,"Lysed"
